Year	tielman	fondation	auguste	rémy	leguay	drot	tony	granier	lary	luc
1974	0.000000	0.000000	0.314950	0.000000	0.000000	0.000000	0.254745	0.471363	0.356298	0.462504
1975	0.000000	0.000000	0.246635	0.402839	0.000000	0.000000	0.342953	0.000000	0.493186	0.521234
1976	0.000000	0.528196	0.552731	0.475882	0.000000	0.000000	0.406296	0.600027	0.378666	0.636293
1977	0.000000	0.789156	0.448975	0.583405	0.000000	0.000000	0.445661	0.549795	0.000000	0.534090
1978	0.000000	0.000000	0.518410	0.000000	0.000000	0.000000	0.492642	0.659132	0.000000	0.709143
1979	0.000000	0.000000	0.528687	0.402899	0.000000	0.000000	0.435537	0.605402	0.000000	0.727621
1980	0.000000	0.324458	0.360798	0.000000	0.000000	0.000000	0.303687	0.682960	0.552686	0.724220
1981	0.000000	0.194313	0.375891	0.324256	0.000000	0.000000	0.277471	0.510167	0.399520	0.622162
1982	0.000000	0.000000	0.544489	0.000000	0.000000	0.000000	0.354878	0.660610	0.605801	0.694116
1983	0.000000	0.253058	0.610910	0.559737	0.000000	0.506029	0.241778	0.511665	0.747312	0.738898
1984	0.000000	0.000000	0.418505	0.000000	0.000000	0.000000	0.408478	0.667519	0.000000	0.658040
1985	0.000000	0.000000	0.673905	0.169503	0.000000	0.000000	0.462431	0.580269	0.000000	0.625963
1986	0.000000	0.324472	0.639751	0.591798	0.569420	0.769153	0.481298	0.677045	0.000000	0.797833
1987	0.000000	0.372067	0.381704	0.411731	0.540264	0.000000	0.268736	0.628933	0.000000	0.632564
1988	0.000000	0.541334	0.575248	0.580444	0.448015	0.000000	0.291858	0.655949	0.000000	0.793295
1989	0.000000	0.493316	0.523961	0.536209	0.629104	0.742407	0.331367	0.750587	0.000000	0.716699
1990	0.000000	0.519927	0.574152	0.558138	0.756304	0.000000	0.352352	0.732305	0.431103	0.745970
1991	0.000000	0.431381	0.610316	0.616627	0.000000	0.000000	0.257781	0.595003	0.398960	0.689799
1992	0.000000	0.580860	0.516975	0.462097	0.000000	0.000000	0.365830	0.000000	0.000000	0.705610
1993	0.000000	0.480464	0.500225	0.439048	0.000000	0.000000	0.299463	0.707520	0.331104	0.781011
1994	0.000000	0.478740	0.529457	0.620501	0.000000	0.000000	0.166239	0.150515	0.332404	0.774329
1995	0.000000	0.299660	0.412560	0.207026	0.000000	0.000000	0.229640	0.556358	0.000000	0.748488
1996	0.000000	0.448783	0.488387	0.595364	0.000000	0.000000	0.337433	0.556449	0.316102	0.741951
1997	0.000000	0.451476	0.436918	0.328056	0.000000	0.000000	0.343872	0.000000	0.405574	0.830390
1998	0.000000	0.473659	0.370148	0.614686	0.000000	0.000000	0.289652	0.000000	0.000000	0.796905
1999	0.802558	0.433633	0.578852	0.456105	0.000000	0.000000	0.385912	0.000000	0.231891	0.721402
2000	0.000000	0.438580	0.329884	0.418163	0.000000	0.000000	0.138021	0.000000	0.129654	0.377174
2001	0.000000	0.258146	0.343665	0.515180	0.000000	0.000000	0.334926	0.000000	0.150951	0.616182
2002	0.000000	0.480135	0.600657	0.344424	0.000000	0.000000	0.372020	0.000000	0.000000	0.765745
2003	0.000000	0.537638	0.616506	0.443292	0.000000	0.000000	0.229662	0.000000	0.000000	0.743292
2004	0.000000	0.478579	0.632016	0.761322	0.000000	0.000000	0.168935	0.289750	0.000000	0.777971
2005	0.000000	0.474456	0.763556	0.000000	0.000000	0.000000	0.249090	0.000000	0.600876	0.608838
