Year	1.080.000	fenzl	aldo	2.450.000	antonio	giuseppe	6.100.000	1.820.000	ansaldi	appiano
1974	0.162853	0.000000	0.364485	0.000000	0.360387	0.362499	0.364167	0.000000	0.480529	-0.013278
1975	0.030042	0.000000	0.376866	0.337960	0.425497	0.435804	0.412444	0.149948	0.495646	0.136937
1976	0.000000	0.000000	0.274905	0.283021	0.304735	0.356413	0.220864	0.000000	0.337307	0.278321
1977	0.000000	0.000000	0.383453	0.207235	0.411959	0.417841	0.356801	0.000000	0.452889	0.353142
1978	0.000000	0.000000	0.264090	0.000000	0.413399	0.464596	0.344819	0.000000	0.387168	0.164973
1979	0.000000	0.000000	0.406721	0.000000	0.473037	0.429401	0.394995	0.000000	0.532632	0.287304
1980	0.000000	0.368552	0.388756	0.000000	0.352227	0.399626	0.000000	0.000000	0.376020	0.135967
1981	0.285485	0.232030	0.198171	0.364610	0.372285	0.349608	0.000000	0.000000	0.144996	0.280456
1982	0.000000	0.351531	0.232771	0.000000	0.251454	0.215322	0.000000	0.000000	0.244280	0.209805
1983	0.000000	0.220302	0.371102	0.014725	0.402974	0.392060	0.000000	0.000000	0.320188	0.103237
1984	0.000000	0.306613	0.332030	-0.062859	0.385418	0.419149	0.000000	0.000000	0.322363	0.137037
1985	0.000000	0.124369	0.357093	0.000000	0.337660	0.218262	0.172836	0.000000	0.181941	0.363033
1986	0.264793	0.391021	0.419861	0.000000	0.421279	0.457118	0.000000	0.000000	0.448248	0.305803
1987	0.078617	0.117712	0.295824	0.000000	0.414271	0.384302	0.000000	0.000000	0.233852	0.225991
1988	0.000000	0.000000	0.387019	0.000000	0.451477	0.446316	0.000000	0.000000	0.353020	0.359165
1989	0.110711	0.000000	0.310835	0.212074	0.362326	0.420079	0.000000	0.000000	0.252562	0.127933
1990	0.159250	0.000000	0.305080	0.186963	0.252637	0.265863	0.193180	0.000000	0.269793	0.182631
1991	0.040785	0.000000	0.219187	0.073078	0.270614	0.356087	0.000000	0.000000	0.141605	0.059889
1992	0.072459	0.000000	0.270420	0.000000	0.285081	0.339151	0.000000	0.000000	0.252760	0.222330
1993	0.218302	0.000000	0.314314	0.000000	0.327585	0.367683	0.000000	0.000000	0.178892	0.154660
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.072304	0.000000	0.140573	0.000000	0.202953	0.249157	0.088454	0.000000	-0.094942	0.057290
1996	0.000000	0.000000	0.354574	0.000000	0.304757	0.435109	0.000000	0.000000	0.198648	0.220633
1997	0.000000	0.000000	0.276230	0.000000	0.288058	0.207220	0.000000	0.000000	0.177347	0.163067
1998	0.000000	0.000000	0.316048	0.000000	0.382661	0.397592	0.000000	0.257534	0.242591	0.277188
1999	0.000000	0.000000	0.229479	0.000000	0.248853	0.226556	0.000000	0.000000	0.123711	0.194976
2000	0.000000	0.000000	0.242242	0.000000	0.253891	0.312791	0.000000	0.000000	0.197804	0.160707
2001	0.000000	0.000000	0.307895	0.000000	0.390421	0.408608	0.000000	0.000000	0.266239	0.204233
2002	0.000000	0.000000	0.264661	0.000000	0.370164	0.410737	0.000000	0.000000	0.438676	0.233501
2003	0.000000	0.000000	0.379620	0.000000	0.382948	0.460958	0.000000	0.000000	0.080411	0.217425
2004	0.000000	0.000000	0.143825	0.000000	0.233092	0.124868	0.000000	0.000000	0.309819	0.306832
2005	0.000000	0.000000	0.190096	0.000000	0.364982	0.310244	0.000000	0.000000	0.127803	0.080891
