Year	furio colombo	gentile	barbera	del noce	•caro	mauro mazza	virgilio bellone	••egregio	•al caro	hans vonk
1973	0.000000	-0.003041	-0.049857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1974	0.000000	-0.030297	0.058216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1975	0.000000	-0.066022	-0.107194	0.000000	0.000000	0.000000	0.553535	0.000000	0.000000	0.000000
1976	0.000000	0.071123	-0.151419	0.000000	0.000000	0.000000	0.418676	0.000000	0.000000	0.000000
1977	0.000000	0.059990	-0.116560	0.000000	0.000000	0.000000	0.811205	0.000000	0.000000	0.000000
1978	0.000000	0.026299	-0.093308	0.000000	0.000000	0.000000	0.487369	0.000000	0.000000	0.000000
1979	0.000000	0.176612	-0.027091	0.000000	0.316064	0.000000	0.000000	0.000000	0.000000	0.000000
1980	0.000000	0.097819	-0.185129	0.000000	0.148393	0.000000	0.000000	0.000000	0.000000	0.000000
1981	0.000000	0.079996	-0.057541	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1982	0.000000	-0.024101	-0.221954	0.000000	0.197567	0.000000	0.000000	0.000000	0.000000	0.000000
1983	0.000000	0.126799	-0.155542	0.000000	0.124931	0.000000	0.000000	0.000000	0.000000	0.000000
1984	0.000000	0.022340	-0.125455	0.000000	0.211730	0.000000	0.000000	0.000000	0.000000	0.000000
1985	0.000000	0.115739	-0.061592	0.000000	0.472815	0.000000	0.000000	0.000000	0.000000	0.808331
1986	0.000000	0.054269	-0.087308	0.000000	0.317071	0.000000	0.000000	0.000000	0.000000	0.461203
1987	0.000000	0.017219	-0.168309	0.000000	0.636586	0.000000	0.000000	0.811200	0.000000	0.000000
1988	0.000000	0.181002	-0.183951	0.000000	0.807225	0.000000	0.000000	0.000000	0.000000	0.000000
1989	0.000000	0.264520	-0.136322	0.000000	0.817074	0.000000	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.303059	-0.245509	0.187662	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1991	0.000000	0.250042	-0.111553	0.000000	0.000000	0.000000	0.000000	0.000000	0.808883	0.000000
1992	0.339633	0.374410	-0.001523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1993	0.000000	0.354307	0.039606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1994	0.000000	0.152912	-0.057049	0.063705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1995	0.000000	0.252706	0.002215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1996	0.000000	0.302907	-0.158086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1997	0.342368	0.329717	-0.030559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1998	0.233908	0.286709	-0.025432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1999	0.266079	0.330475	0.074786	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2000	0.000000	0.187702	0.095358	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2001	0.691904	0.131827	0.126775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2002	0.751028	0.170374	0.012143	0.781695	0.000000	0.517161	0.000000	0.000000	0.000000	0.000000
2003	0.862086	0.278320	0.010497	0.837797	0.000000	0.752853	0.000000	0.000000	0.000000	0.000000
2004	0.750087	0.176872	-0.050144	0.815840	0.000000	0.812132	0.000000	0.000000	0.000000	0.000000
2005	0.625320	0.157334	-0.078416	0.827814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
