Year	1.080.000	giovanni	1.040.000	1.640.000	1.240.000	incisore	corrado	offreei	antonio	1.620.000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.457342	0.443315	0.000000	0.436386	0.000000	0.480082	0.409573	0.000000	0.510775	0.000000
1973	0.314055	0.398429	0.222415	0.395235	0.242069	0.413055	0.411563	0.000000	0.473537	0.128382
1974	0.018282	0.269298	0.294751	0.000000	0.221537	0.195975	0.351610	0.000000	0.409509	0.000000
1975	-0.042933	0.256615	0.095496	0.129408	0.079702	0.336552	0.308567	0.000000	0.335712	0.042640
1976	0.000000	0.363079	0.000000	0.000000	0.000000	0.272037	0.435314	0.000000	0.410084	0.000000
1977	0.000000	0.368523	0.000000	0.000000	0.000000	0.229100	0.163780	0.000000	0.288914	0.000000
1978	0.000000	0.184615	0.000000	0.000000	0.000000	0.248444	0.065833	0.000000	0.268782	0.040601
1979	0.000000	0.475026	-0.064787	0.000000	0.000000	0.335101	0.340026	0.000000	0.551084	0.000000
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.444089	0.000000	0.000000	0.000000	0.162497	0.298172	0.000000	0.493440	0.242321
1983	0.000000	0.347830	0.000000	0.000000	0.042916	0.269422	0.311863	0.000000	0.386830	0.221423
1984	0.000000	0.306314	0.000000	0.000000	0.000000	0.453294	0.238643	0.000000	0.317058	0.000000
1985	0.000000	0.317583	0.000000	0.000000	0.000000	0.209778	0.331565	0.000000	0.431348	0.000000
1986	0.258787	0.298222	0.000000	0.000000	0.000000	0.404150	0.292139	0.000000	0.402399	0.000000
1987	0.064188	0.470551	0.000000	0.164467	0.198784	0.259593	0.320450	0.000000	0.480327	0.096094
1988	0.000000	0.377704	0.000000	0.000000	0.000000	0.378188	0.212632	0.000000	0.442320	0.000000
1989	0.126703	0.338009	0.080948	0.000000	0.031165	0.156437	0.239975	0.000000	0.439012	0.000000
1990	0.231366	0.375365	0.000000	0.000000	0.000000	0.241974	0.343400	0.000000	0.396522	0.144447
1991	0.034725	0.312484	0.000000	0.000000	0.000000	0.239459	0.332471	0.000000	0.381374	0.000000
1992	0.130689	0.340979	0.132455	0.000000	0.000000	0.288940	0.281619	0.000000	0.372113	0.000000
1993	0.075585	0.389812	0.000000	0.000000	0.000000	0.345283	0.432708	0.000000	0.432977	0.000000
1994	0.263133	0.277389	0.308233	0.000000	0.210608	0.126766	0.246402	0.000000	0.345830	0.266063
1995	0.186922	0.385468	0.000000	0.000000	0.091302	0.448130	0.174695	0.000000	0.349517	0.296588
1996	0.000000	0.159291	-0.015755	0.000000	0.000000	0.312556	0.208298	0.000000	0.196944	0.000000
1997	0.000000	0.331956	0.129519	0.000000	0.127253	0.181504	0.119017	0.000000	0.462664	0.000000
1998	0.000000	0.428030	-0.063595	0.000000	0.000000	0.265508	0.249751	0.000000	0.360366	0.000000
1999	0.000000	0.382408	0.020608	0.000000	0.282124	0.319781	0.327001	0.000000	0.411240	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.306373	0.000000	0.000000	0.000000	0.269341	0.196410	0.000000	0.360724	0.000000
2002	0.000000	0.265787	0.000000	0.000000	0.000000	0.298202	0.165331	0.000000	0.280940	0.000000
2003	0.000000	0.228582	0.000000	0.000000	0.000000	0.386145	0.201690	0.000000	0.187704	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.265703	0.000000	0.000000	0.000000	0.148582	0.432290	0.000000	0.286244	0.000000
