Year	»	erwin	mansueto	oswald	giocondo	giorgio colorai	heinrich	griniev	ucraino	alsaziano
1983	0.153189	0.112071	0.232203	0.274657	0.025731	0.000000	0.463153	0.000000	0.261140	0.053146
1984	0.081569	0.187431	0.240739	0.200512	0.089049	0.000000	0.345218	0.000000	0.259215	0.377332
1985	0.149060	0.300248	0.244033	0.170223	0.158053	0.000000	0.444710	0.000000	0.413969	0.217185
1986	0.069819	0.333589	0.198080	0.164606	0.289794	0.000000	0.398987	0.000000	0.478488	0.641019
1987	0.176447	0.395877	0.267159	0.239417	0.231539	0.000000	0.251932	0.000000	0.357961	0.137359
1988	0.060848	0.114449	0.346521	0.264253	0.080844	0.000000	0.417260	0.000000	0.347437	0.202733
1989	0.090463	0.237197	0.395906	0.273966	0.261787	0.000000	0.427429	0.000000	0.550058	0.289692
1990	0.041575	0.276675	0.301539	0.243459	-0.036029	0.000000	0.440496	0.000000	0.382918	0.497486
1991	0.131371	0.271678	0.323270	0.260560	-0.030811	0.000000	0.423119	0.000000	0.339901	0.382656
1992	-0.019961	0.184582	0.129060	0.317230	-0.065368	0.000000	0.428971	0.000000	0.266553	0.256790
1993	0.058593	0.293644	0.227362	0.367722	0.096317	0.000000	0.380324	0.000000	0.265431	0.353119
1994	0.063035	0.275983	0.196527	0.261716	0.114589	0.000000	0.268442	0.000000	0.280527	0.376378
1995	0.142699	0.208023	0.217350	0.349635	0.110440	0.000000	0.382454	0.000000	0.320849	0.301221
1996	0.050840	0.147144	0.343319	0.287766	0.142970	0.000000	0.430769	0.000000	0.273288	0.217786
1997	0.063996	0.212226	0.259527	0.113817	-0.027382	0.000000	0.311126	0.000000	0.175315	0.000000
1998	0.062678	0.286936	0.318938	0.262940	0.225080	0.000000	0.201837	0.000000	0.276625	0.201292
1999	0.151772	0.264355	0.230290	0.281925	-0.091763	0.000000	0.188182	0.000000	0.181067	0.411160
2000	0.160872	0.296366	0.204839	0.166088	0.000000	0.000000	0.147418	0.000000	0.078796	0.000000
2001	0.142524	0.188288	0.166442	0.267553	0.185097	0.000000	0.388949	0.000000	0.098255	0.348415
2002	0.117176	0.282521	0.159517	0.225922	0.061704	0.000000	0.427294	0.000000	0.218548	0.291202
2003	-0.007794	0.379687	0.250573	0.309254	0.000000	0.000000	0.412585	0.000000	0.231158	0.360390
2004	0.057659	0.352593	0.279343	0.299377	0.213436	0.000000	0.487988	0.000000	0.203476	0.456145
2005	0.049751	0.475546	0.348839	0.442886	-0.057407	0.000000	0.354203	0.000000	0.185364	0.382597
