Year	alessandro di benedetto	bruce lee	divisionista	noor	bruca lee	sarfaty	re faruk	beatrice	dezza	amelia
1975	0.000000	0.000000	0.321899	0.000000	0.000000	0.000000	0.000000	0.128059	0.154179	0.353042
1976	0.000000	0.000000	0.000000	0.171838	0.000000	0.000000	0.000000	0.253195	0.209974	0.128488
1977	0.000000	0.000000	0.299558	0.000000	0.000000	0.000000	0.000000	0.304693	0.432463	0.397511
1978	0.000000	0.000000	0.161161	0.000000	0.000000	0.000000	0.000000	0.356426	-0.076200	0.289174
1979	0.000000	0.824938	0.000000	0.223754	0.765323	0.000000	0.000000	0.372413	0.328794	0.264585
1980	0.000000	0.391117	0.258476	0.130454	0.000000	0.764515	0.000000	0.623639	0.320219	0.326580
1981	0.000000	0.000000	0.340266	0.372915	0.000000	0.000000	0.000000	0.408147	0.251754	0.229559
1982	0.000000	0.303515	0.135687	0.143180	0.000000	0.000000	0.000000	0.434834	0.262938	0.280528
1983	0.000000	0.000000	0.380718	0.193861	0.000000	0.000000	0.000000	0.501767	0.329781	0.303390
1984	0.000000	0.000000	0.221412	0.268796	0.000000	0.000000	0.000000	0.455030	0.308847	0.293947
1985	0.000000	0.265737	0.000000	0.000000	0.000000	0.000000	0.000000	0.330943	0.224389	0.296476
1986	0.000000	0.000000	0.080704	0.000000	0.000000	0.000000	0.000000	0.361225	0.223662	0.278294
1987	0.000000	0.000000	0.258526	0.565175	0.000000	0.000000	0.000000	0.350737	0.344239	0.329594
1988	0.000000	0.000000	0.341631	0.215470	0.000000	0.000000	0.000000	0.395076	0.312532	0.340716
1989	0.000000	0.000000	0.263833	0.000000	0.000000	0.000000	0.000000	0.334094	0.127838	0.342810
1990	0.000000	0.000000	0.119626	0.475190	0.000000	0.000000	0.000000	0.271853	0.167205	0.301624
1991	0.000000	0.000000	0.291669	0.462764	0.000000	0.000000	0.000000	0.385846	0.229855	0.356034
1992	0.000000	0.000000	0.406444	0.233285	0.000000	0.000000	0.000000	0.186308	0.096540	0.144678
1993	0.000000	0.000000	0.136925	0.000000	0.000000	0.000000	0.000000	0.359838	0.075071	0.268864
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.406648	0.143984	0.229903
1995	0.000000	0.000000	0.036847	0.546571	0.000000	0.000000	0.000000	0.245735	0.253268	0.181157
1996	0.000000	0.000000	0.294514	0.203400	0.000000	0.000000	0.000000	0.394430	0.148099	0.253671
1997	0.000000	0.000000	0.236591	0.238645	0.000000	0.000000	0.000000	0.315250	0.329206	0.179638
1998	0.000000	0.000000	0.105812	0.000000	0.000000	0.000000	0.000000	0.408603	0.150370	0.262718
1999	0.000000	0.000000	0.112656	0.786846	0.000000	0.000000	0.000000	0.438698	0.201175	0.155501
2000	0.000000	0.000000	0.000000	0.284891	0.000000	0.000000	0.000000	0.329390	0.018898	0.242743
2001	0.000000	0.000000	0.042743	0.384840	0.000000	0.095418	0.000000	0.401065	0.178517	0.172965
2002	0.866107	0.000000	0.000000	0.384463	0.000000	0.000000	0.000000	0.209845	0.302308	0.300111
2003	0.000000	0.000000	0.292246	0.260075	0.000000	0.000000	0.000000	0.423188	0.325973	0.184264
2004	0.000000	0.000000	0.346958	0.223519	0.000000	0.000000	0.000000	0.303069	0.000000	0.158135
2005	0.000000	0.000000	0.125416	0.407549	0.000000	0.000000	0.000000	0.438894	0.375916	0.236405
