Year	3454	perrin	cassini	giampiero mentii	531.414	zanetta	6264	carver	gianni borgna	6061
1971	0.000000	0.201906	0.101479	0.000000	0.000000	0.316209	0.000000	0.000000	0.000000	0.000000
1972	0.000000	0.278647	0.343629	0.000000	0.000000	0.303823	0.000000	0.315338	0.000000	0.000000
1973	0.000000	0.132295	0.148099	0.000000	0.000000	0.153369	0.000000	0.151143	0.000000	0.000000
1974	0.000000	0.240641	0.037085	0.000000	0.310860	0.244788	0.000000	0.000000	0.000000	0.000000
1975	0.000000	0.277662	0.285304	0.000000	0.598747	0.199461	0.000000	0.000000	0.729052	0.000000
1976	0.000000	0.173555	0.315647	0.000000	0.000000	0.375985	0.000000	0.086787	0.000000	0.000000
1977	0.000000	0.156789	0.229446	0.000000	0.000000	0.379717	0.000000	0.152059	0.000000	0.000000
1978	0.000000	0.235502	0.151236	0.000000	0.000000	0.405144	0.000000	0.000000	0.000000	0.000000
1979	0.000000	0.432980	0.062394	0.000000	0.000000	0.457418	-0.009932	0.000000	0.000000	0.000000
1980	0.000000	0.262480	0.289011	0.741054	0.000000	0.391933	0.000000	0.069470	0.000000	0.000000
1981	0.000000	0.165845	-0.055919	0.000000	0.000000	0.340985	0.000000	0.000000	0.000000	0.000000
1982	0.000000	0.302185	0.188050	0.000000	0.000000	0.383520	0.000000	0.305063	0.000000	0.000000
1983	0.000000	0.340173	0.210905	0.523211	0.000000	0.327365	0.000000	0.155926	0.000000	0.000000
1984	0.000000	0.297220	0.110298	0.574950	0.063640	0.342566	0.000000	0.139651	0.000000	0.009202
1985	0.000000	0.413656	0.429361	0.547464	0.000000	0.295954	0.000000	0.275330	0.000000	0.000000
1986	0.000000	0.313754	0.275935	0.573676	0.000000	0.444016	0.000000	0.004832	0.000000	0.000000
1987	0.000000	0.303548	0.308578	0.407943	0.000000	0.428099	0.000000	0.109111	0.000000	0.000000
1988	0.000000	0.362085	0.326116	0.532537	0.000000	0.289858	0.000000	0.142105	0.000000	0.000000
1989	0.000000	0.225753	0.243899	0.423492	0.000000	0.375218	0.000000	0.238747	0.000000	0.205340
1990	0.000000	0.273288	0.153927	0.428581	0.000000	0.449238	0.000000	0.024389	0.000000	0.000000
1991	0.000000	0.288202	0.133700	0.000000	0.000000	0.376651	0.000000	0.230309	0.000000	0.000000
1992	0.000000	0.270746	0.093389	0.357727	0.000000	0.279581	0.000000	0.045323	0.000000	0.000000
1993	0.000000	0.165377	0.199520	0.291953	0.000000	0.309758	0.000000	0.097449	0.000000	0.000000
1994	0.000000	0.179219	0.262838	0.000000	0.000000	0.259707	0.000000	0.062270	0.302199	0.000000
1995	0.000000	0.298935	0.029586	0.000000	0.000000	0.377703	0.000000	-0.060760	0.168497	0.000000
1996	0.000000	0.221443	0.058328	0.000000	0.000000	0.148352	0.000000	-0.018855	0.398426	0.000000
1997	0.000000	0.216776	0.058833	0.000000	0.000000	0.292079	0.000000	0.066854	0.298605	0.000000
1998	0.000000	0.152181	0.074877	0.000000	0.000000	0.328748	0.000000	0.260582	0.318859	0.000000
1999	0.000000	0.235587	0.101873	0.315499	0.000000	0.399329	0.000000	0.167734	0.146751	0.000000
2000	0.000000	0.386794	0.411211	0.000000	0.000000	0.515446	0.000000	0.206383	0.000000	0.000000
2001	0.000000	0.324653	0.166898	0.000000	0.000000	0.206025	0.000000	0.140885	0.000000	0.000000
2002	0.000000	0.300497	0.321084	0.000000	0.000000	0.317446	0.000000	0.075494	0.372208	0.000000
2003	0.000000	0.214611	0.211044	0.000000	0.000000	0.267261	0.000000	0.084908	0.268515	0.000000
2004	0.000000	0.087159	-0.129197	0.000000	0.000000	0.126579	0.000000	-0.082076	0.191664	0.000000
2005	0.000000	0.357644	0.160983	0.000000	0.000000	0.342790	0.000000	0.295746	0.000000	0.000000
